epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,367.171,1.53391,1.09257,1.50998,0.61087,0.55503,0.52812,0.22118,2.03378,1.261,2.04898,0.000655625,0.000655625,0.000655625
43,375.446,1.42687,1.04001,1.45375,0.54747,0.57495,0.50321,0.20015,2.10805,1.2831,2.11431,0.000636762,0.000636762,0.000636762
44,383.528,1.46041,1.0103,1.45932,0.60805,0.5962,0.56513,0.23108,2.02389,1.24567,2.034,0.0006179,0.0006179,0.0006179
45,391.627,1.45991,1.02033,1.47712,0.54191,0.60692,0.5441,0.21844,2.07973,1.31318,2.12056,0.000599037,0.000599037,0.000599037
46,399.641,1.40166,0.98633,1.46793,0.49413,0.60225,0.50396,0.20472,2.07857,1.32832,2.10811,0.000580174,0.000580174,0.000580174
47,408.09,1.39563,0.95458,1.44958,0.54695,0.58444,0.52441,0.20754,2.05951,1.31353,2.1006,0.000561311,0.000561311,0.000561311
48,416.15,1.38835,0.92986,1.43122,0.52335,0.58047,0.50912,0.2047,2.11382,1.36669,2.1314,0.000542448,0.000542448,0.000542448
49,424.218,1.36358,0.94233,1.41187,0.55773,0.55673,0.50307,0.20746,2.0672,1.28732,2.07996,0.000523586,0.000523586,0.000523586
50,432.247,1.36119,0.97061,1.43331,0.53509,0.56986,0.50113,0.21829,2.02857,1.26055,2.05144,0.000504723,0.000504723,0.000504723
51,440.72,1.39426,0.967,1.42371,0.64873,0.55072,0.55606,0.22591,2.08006,1.24346,2.10857,0.00048586,0.00048586,0.00048586
52,448.867,1.30192,0.87117,1.3846,0.66378,0.55735,0.54532,0.2202,2.02084,1.23917,2.07079,0.000466997,0.000466997,0.000466997
53,456.888,1.34368,0.88662,1.38155,0.61393,0.54937,0.53776,0.21369,2.05211,1.29052,2.07568,0.000448134,0.000448134,0.000448134
54,464.81,1.29907,0.86445,1.37366,0.57728,0.57994,0.5224,0.2058,2.11039,1.31866,2.13753,0.000429272,0.000429272,0.000429272
55,473.032,1.27182,0.90711,1.37964,0.58798,0.63246,0.54377,0.21471,2.08571,1.26676,2.16066,0.000410409,0.000410409,0.000410409
56,481.267,1.26669,0.83465,1.34991,0.69725,0.58033,0.59049,0.23245,2.06405,1.24361,2.14603,0.000391546,0.000391546,0.000391546
57,489.363,1.26338,0.88772,1.35257,0.60286,0.63645,0.57999,0.22097,2.07711,1.23865,2.16404,0.000372683,0.000372683,0.000372683
58,497.563,1.24346,0.8189,1.31159,0.59386,0.57494,0.53689,0.21603,2.06315,1.26857,2.14455,0.00035382,0.00035382,0.00035382
59,505.619,1.22041,0.7693,1.30194,0.64238,0.54662,0.51877,0.20893,2.08044,1.28299,2.16886,0.000334958,0.000334958,0.000334958
60,514.092,1.20651,0.81216,1.31573,0.61723,0.55954,0.53588,0.22006,2.07477,1.28835,2.17781,0.000316095,0.000316095,0.000316095
61,522.165,1.24932,0.83757,1.33974,0.54731,0.6121,0.53932,0.21609,2.09269,1.27225,2.20011,0.000297232,0.000297232,0.000297232
62,530.16,1.20545,0.78766,1.30109,0.55308,0.59614,0.52435,0.21284,2.10667,1.28079,2.17325,0.000278369,0.000278369,0.000278369
63,538.156,1.21884,0.82443,1.32248,0.55588,0.6013,0.51911,0.21298,2.09423,1.29115,2.16571,0.000259506,0.000259506,0.000259506
64,546.498,1.2081,0.80117,1.31775,0.58908,0.57782,0.52101,0.21582,2.09728,1.26743,2.16911,0.000240644,0.000240644,0.000240644
65,554.688,1.14671,0.73413,1.24823,0.60766,0.58542,0.52423,0.22059,2.09285,1.22855,2.1764,0.000221781,0.000221781,0.000221781
66,567.666,1.15801,0.67516,1.29429,0.60186,0.5956,0.53968,0.2217,2.06781,1.21922,2.18053,0.000202918,0.000202918,0.000202918
67,575.668,1.10205,0.68015,1.29136,0.62622,0.56537,0.54148,0.22398,2.05074,1.19737,2.14836,0.000184055,0.000184055,0.000184055
68,584.797,1.07941,0.64076,1.26347,0.59247,0.55946,0.53116,0.21637,2.07455,1.22587,2.19105,0.000165192,0.000165192,0.000165192
69,593.618,1.07869,0.63379,1.24,0.57119,0.58599,0.52499,0.21321,2.08646,1.2497,2.21485,0.00014633,0.00014633,0.00014633
70,601.032,1.06408,0.61742,1.21241,0.56991,0.58915,0.51852,0.21409,2.07653,1.27357,2.20081,0.000127467,0.000127467,0.000127467
71,608.379,1.03994,0.61159,1.22375,0.57943,0.5843,0.51352,0.21527,2.07766,1.25085,2.20447,0.000108604,0.000108604,0.000108604
72,615.78,1.04752,0.59664,1.22382,0.58649,0.58583,0.51844,0.21641,2.06473,1.24137,2.18314,8.97412e-05,8.97412e-05,8.97412e-05
73,623.939,1.00753,0.56331,1.19744,0.57222,0.60119,0.51618,0.21724,2.07039,1.24657,2.1897,7.08784e-05,7.08784e-05,7.08784e-05
74,632.169,1.01613,0.58578,1.21504,0.57684,0.5974,0.51707,0.2172,2.06936,1.23858,2.19134,5.20156e-05,5.20156e-05,5.20156e-05
75,641.12,1.02556,0.58333,1.18976,0.59372,0.57085,0.51922,0.21789,2.06578,1.23736,2.19166,3.31528e-05,3.31528e-05,3.31528e-05
