epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,21059.4,1.24694,0.77368,1.13815,0.86365,0.57552,0.59388,0.35989,1.3567,0.86947,1.2385,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
29,21695.7,1.24327,0.7672,1.13515,0.52521,0.57803,0.59223,0.36162,1.35344,0.85779,1.23788,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
30,22331.3,1.23515,0.75643,1.12953,0.52511,0.58109,0.59435,0.36436,1.34964,0.84738,1.23324,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
31,22960.8,1.23509,0.747,1.12827,0.86247,0.58213,0.59806,0.36963,1.34226,0.81736,1.22684,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
32,23591.3,1.22348,0.73732,1.12604,0.87637,0.58474,0.60422,0.3777,1.32917,0.77873,1.22044,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
33,24221.1,1.22054,0.73007,1.12264,0.88955,0.58849,0.61156,0.3849,1.31812,0.74081,1.21327,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
34,24876.1,1.22092,0.72607,1.12474,0.89828,0.58856,0.61682,0.38993,1.31348,0.71328,1.21264,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
35,25512,1.21513,0.71194,1.12004,0.90729,0.59131,0.62268,0.39386,1.30978,0.69183,1.20976,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
36,33101.1,1.21712,0.70861,1.11608,0.91325,0.59492,0.62728,0.39837,1.30578,0.67,1.20483,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
37,33770.6,1.20582,0.70078,1.11407,0.58307,0.59713,0.62831,0.40065,1.30241,0.65593,1.20163,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
38,34577.6,1.20037,0.69076,1.10962,0.58332,0.59892,0.62878,0.40175,1.30004,0.64646,1.19755,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
39,35286.4,1.19414,0.68312,1.10653,0.58872,0.59733,0.62965,0.40303,1.29728,0.6363,1.19388,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
40,36002.7,1.18854,0.67622,1.10588,0.58834,0.60086,0.63038,0.40433,1.29611,0.62832,1.1927,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
41,36637.9,1.19094,0.6684,1.10279,0.58979,0.60078,0.63162,0.40549,1.29368,0.6218,1.19023,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
42,37271.3,1.18009,0.66409,1.10082,0.58931,0.6026,0.63248,0.40606,1.29249,0.6163,1.18916,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
43,37907.9,1.17693,0.65738,1.09636,0.59063,0.60243,0.63226,0.40653,1.29094,0.61058,1.1873,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
44,38540.7,1.17346,0.64602,1.09764,0.59268,0.6031,0.63323,0.40753,1.28962,0.6037,1.18594,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
45,39177.9,1.16907,0.64646,1.09685,0.59323,0.60396,0.63353,0.40879,1.28847,0.59815,1.18465,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
46,39816.8,1.16338,0.64143,1.09187,0.59358,0.60444,0.63427,0.4095,1.28734,0.59409,1.18342,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
47,40455.4,1.15623,0.62908,1.08558,0.59553,0.60433,0.63484,0.41025,1.2864,0.59143,1.18212,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
48,41092.4,1.15779,0.62617,1.0864,0.59556,0.60479,0.63467,0.41046,1.28563,0.58897,1.18096,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
49,41746.4,1.15418,0.62108,1.08619,0.59542,0.60475,0.63491,0.41085,1.2849,0.58733,1.18042,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
50,42384.9,1.14935,0.61802,1.0851,0.59596,0.60496,0.63489,0.41122,1.28425,0.58593,1.17978,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
51,43021.6,1.14133,0.60878,1.08254,0.59688,0.60551,0.63553,0.41186,1.28368,0.58407,1.17913,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
52,43659.5,1.13649,0.60401,1.07889,0.59685,0.60572,0.63571,0.4119,1.28285,0.5823,1.17831,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
53,44297,1.13246,0.60132,1.07789,0.59676,0.60631,0.63583,0.41253,1.28256,0.58069,1.17784,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
54,44933.7,1.12491,0.59419,1.07112,0.59679,0.60639,0.63548,0.41276,1.28211,0.57932,1.17718,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
55,45571.1,1.12059,0.58755,1.07024,0.57947,0.64317,0.63562,0.41321,1.28173,0.57827,1.17677,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
56,46208,1.11884,0.58256,1.0656,0.58613,0.64233,0.63589,0.41362,1.28145,0.5768,1.17635,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
57,46844.9,1.113,0.58328,1.06807,0.58662,0.64215,0.63634,0.41383,1.28103,0.57555,1.17576,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
58,47479.5,1.10438,0.57254,1.06176,0.58247,0.64451,0.63662,0.41429,1.28037,0.57395,1.17508,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
59,48127.1,1.09708,0.56955,1.06099,0.58483,0.64669,0.63713,0.41458,1.2801,0.57319,1.17489,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
60,48760.1,1.10174,0.56911,1.06184,0.58716,0.64935,0.63775,0.41527,1.27958,0.57201,1.17455,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
61,49392.8,1.09584,0.56351,1.0617,0.59798,0.65516,0.63811,0.41597,1.2795,0.5716,1.17456,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
62,50025.2,1.08635,0.55794,1.05501,0.60182,0.6546,0.63847,0.41624,1.2791,0.57099,1.17442,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
63,50659,1.08133,0.55225,1.05117,0.60998,0.65258,0.63919,0.41681,1.27889,0.57015,1.17427,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
64,51296.2,1.078,0.54967,1.04974,0.61193,0.64909,0.63987,0.41715,1.27866,0.56963,1.17408,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
65,51932.8,1.07639,0.5407,1.04848,0.62733,0.64723,0.64065,0.4177,1.27843,0.56954,1.17401,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
66,52583.2,1.05214,0.48226,1.04663,0.62499,0.64638,0.64119,0.41821,1.27844,0.56897,1.17395,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
67,53215.8,1.04106,0.47055,1.04305,0.64724,0.64205,0.6417,0.41885,1.27829,0.56858,1.17383,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
68,53848.3,1.03381,0.4661,1.03859,0.65637,0.63996,0.64205,0.41942,1.27815,0.56794,1.17388,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
69,54482,1.0241,0.45924,1.03443,0.65576,0.63975,0.64226,0.41942,1.27812,0.56807,1.17406,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
70,55114.2,1.02331,0.45837,1.03219,0.66084,0.63811,0.64268,0.41988,1.27818,0.56752,1.17403,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
71,55746.9,1.01029,0.4501,1.02871,0.66537,0.63659,0.64249,0.41976,1.27801,0.56755,1.17417,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
72,56380.5,1.00664,0.4434,1.02744,0.65507,0.64406,0.64297,0.42012,1.27822,0.5672,1.17437,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
73,57013.5,0.9999,0.44131,1.02258,0.65896,0.64536,0.6428,0.42028,1.27827,0.56731,1.17452,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
74,57646.1,0.99456,0.43791,1.01857,0.66214,0.64252,0.64257,0.42024,1.27813,0.56744,1.17461,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
75,58279,0.99307,0.43756,1.01854,0.6634,0.64023,0.64246,0.42045,1.27801,0.56772,1.17472,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
